"request_id","created_date","closed_date","status","communityboardid","address","cross_street","landmark","locationtype","facilitytype","addresstype","vehicletype","agency_code","responsibleagency","requesttype","category","request_details","source","latitude","longitude"
45279598,"2020-01-01 00:10:20+00","2020-01-01 00:10:22+00","Closed","06 MANHATTAN","262 EAST   28 STREET, NEW YORK, NY 10016","3 AVENUE & 2 AVENUE","EAST   28 STREET","Above Address",NULL,NULL,NULL,"EDC","Economic Development Corporation","Noise - Helicopter","Other",NULL,"ONLINE",40.7411987796132,-73.9790552089976
45278357,"2020-01-01 01:07:55+00","2020-01-01 01:52:42+00","Closed","01 MANHATTAN","34 PECK SLIP, NEW YORK, NY 10038","FRONT STREET & SOUTH STREET","PECK SLIP",NULL,NULL,NULL,NULL,"NYPD","New York City Police Department","Noise - Commercial","Loud Music/Party","The Police Department responded to the complaint and determined that police action was not necessary","PHONE",40.7077365914648,-74.0015293131253
45289558,"2020-01-01 00:00:00+00","2020-01-15 00:00:01+00","Closed","06 BROOKLYN","625 UNION STREET, BROOKLYN, NY 11215","3 AVENUE & 4 AVENUE","UNION STREET","Other (Explain Below)",NULL,"ADDRESS",NULL,"DOHMH","Department of Health and Mental Hygiene","Food Poisoning","3 or More","The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. All food establishments are inspected annually. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.","ONLINE",40.6779630418579,-73.9844360912144
45283069,"2020-01-01 00:10:35+00","2020-01-01 06:50:19+00","Closed","15 BROOKLYN","1815 EAST   17 STREET, BROOKLYN, NY 11229","AVENUE R & MOORE PLACE","EAST   17 STREET","Street/Sidewalk",NULL,NULL,NULL,"NYPD","New York City Police Department","Noise - Street/Sidewalk","Loud Music/Party","The Police Department responded to the complaint and with the information available observed no evid","MOBILE",40.6055865701945,-73.9557537889115
45288728,"2020-01-01 00:00:00+00","2020-01-02 00:00:01+00","Closed","09 BROOKLYN","985 NOSTRAND AVENUE, BROOKLYN, NY 11225","SULLIVAN PLACE & EMPIRE BOULEVARD","NOSTRAND AVENUE","Restaurant/Bar/Deli/Bakery",NULL,"ADDRESS",NULL,"DOHMH","Department of Health and Mental Hygiene","Food Poisoning","1 or 2","The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.","ONLINE",40.6644219046724,-73.9509820155638
45288240,"2020-01-01 00:00:00+00","2020-01-02 00:00:01+00","Closed","05 QUEENS","1717 CORNELIA STREET, Ridgewood, NY 11385","MYRTLE AVENUE & SENECA AVENUE","CORNELIA STREET","Restaurant/Bar/Deli/Bakery",NULL,"ADDRESS",NULL,"DOHMH","Department of Health and Mental Hygiene","Food Poisoning","1 or 2","The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.","ONLINE",40.7003664897999,-73.9054382900637
45287907,"2020-01-01 00:00:00+00","2020-01-02 00:00:01+00","Closed","11 BROOKLYN","1602 SHORE PARKWAY, BROOKLYN, NY 11214","BELT PARKWAY EXIT 5 EASTBOUND & BELT PARKWAY EB EN BAY PKWY","SHORE PARKWAY","Restaurant/Bar/Deli/Bakery",NULL,"ADDRESS",NULL,"DOHMH","Department of Health and Mental Hygiene","Food Poisoning","3 or More","The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.","ONLINE",40.5956534313865,-74.0001728391749
45285651,"2020-01-01 00:00:00+00","2020-01-02 00:00:01+00","Closed","07 BRONX","2701 DECATUR AVENUE, BRONX, NY 10458","EAST 195 STREET & EAST 197 STREET","DECATUR AVENUE","Restaurant/Bar/Deli/Bakery",NULL,"ADDRESS",NULL,"DOHMH","Department of Health and Mental Hygiene","Food Poisoning","1 or 2","The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.","PHONE",40.864865567708,-73.8887832572992
45285347,"2020-01-01 00:00:00+00","2020-01-10 00:00:01+00","Closed","15 BROOKLYN","3442 NOSTRAND AVENUE, BROOKLYN, NY 11229","GRAVESEND NECK ROAD & AVENUE V","NOSTRAND AVENUE","Restaurant/Bar/Deli/Bakery",NULL,"ADDRESS",NULL,"DOHMH","Department of Health and Mental Hygiene","Food Poisoning","3 or More","The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. All food establishments are inspected annually. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.","ONLINE",40.6001292057807,-73.9418429167588
45289555,"2020-01-01 00:00:00+00","2020-01-02 09:39:33+00","Closed","09 QUEENS","92-20 JAMAICA AVENUE, Woodhaven, NY 11421","92 STREET & WOODHAVEN BOULEVARD","JAMAICA AVENUE","Restaurant/Bar/Deli/Bakery",NULL,"ADDRESS",NULL,"DOHMH","Department of Health and Mental Hygiene","Food Poisoning","1 or 2","The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.","ONLINE",40.6933479606274,-73.8529867642062
45288120,"2020-01-01 00:00:00+00","2020-01-02 09:51:29+00","Closed","01 BRONX","748 EAST  149 STREET, BRONX, NY 10455","CONCORD AVENUE & WALES AVENUE","EAST  149 STREET","Restaurant/Bar/Deli/Bakery",NULL,"ADDRESS",NULL,"DOHMH","Department of Health and Mental Hygiene","Food Poisoning","3 or More","The Department of Health and Mental Hygiene has determined that the reported incident is isolated.  The establishment will be inspected according to its normal schedule for sanitary inspections.","ONLINE",40.8129964561416,-73.9079732453335
45285821,"2020-01-01 00:00:00+00","2020-01-02 09:50:09+00","Closed","17 BROOKLYN","5707 CHURCH AVENUE, BROOKLYN, NY 11203","EAST 57 STREET & KINGS HIGHWAY","CHURCH AVENUE","Other (Explain Below)",NULL,"ADDRESS",NULL,"DOHMH","Department of Health and Mental Hygiene","Food Poisoning","1 or 2","The Health Departmentâs Office of Environmental Investigations has determined this case was an isolated incident. The Departmentâs Bureau of Food Safety and Community Sanitation will review to see if a sanitary inspection is necessary. All food establishments are inspected annually. You can get results of all food safety inspections by going online to www.nyc.gov/health/restaurants.","ONLINE",40.6525357590577,-73.9235399401713
45282225,"2020-01-01 00:01:12+00","2020-01-01 03:07:10+00","Closed","14 BROOKLYN","511 EAST   28 STREET, BROOKLYN, NY 11210","FOSTER AVENUE & FARRAGUT ROAD","EAST   28 STREET","Street/Sidewalk",NULL,NULL,NULL,"NYPD","New York City Police Department","Blocked Driveway","No Access","The Police Department issued a summons in response to the complaint.","PHONE",40.6379892691567,-73.9501078631077
45281175,"2020-01-01 00:01:37+00","2020-01-01 01:54:21+00","Closed","07 BRONX","2625 GRAND CONCOURSE, BRONX, NY 10468","EAST  192 STREET & EAST  193 STREET","GRAND CONCOURSE","Residential Building/House",NULL,NULL,NULL,"NYPD","New York City Police Department","Noise - Residential","Loud Music/Party","The Police Department responded to the complaint and with the information available observed no evid","MOBILE",40.8651541764459,-73.8950880518057
45278238,"2020-01-01 00:01:46+00","2020-01-01 05:37:46+00","Closed","07 MANHATTAN","865 COLUMBUS AVENUE, NEW YORK, NY 10025","WEST  100 STREET & WEST  103 STREET","COLUMBUS AVENUE",NULL,NULL,NULL,NULL,"NYPD","New York City Police Department","Noise - Residential","Banging/Pounding","The Police Department responded to the complaint and with the information available observed no evid","PHONE",40.7969299218199,-73.96455113217
