"request_id","created_date","closed_date","status","communityboardid","address","cross_street","landmark","locationtype","facilitytype","addresstype","vehicletype","agency_code","responsibleagency","requesttype","category","request_details","source","latitude","longitude"
38102002,"2018-01-03 10:27:38+00","2018-01-04 14:30:26+00","Closed","13 QUEENS",NULL,NULL,NULL,"Co-Op Unit","N/A","ADDRESS",NULL,"DOF","Condo or CoOp Unit","DOF Property - Reduction Issue","Condo or Co-op Abatement","See notes.","PHONE",NULL,NULL
38112989,"2018-01-05 09:51:10+00","2018-01-12 16:44:16+00","Closed","11 QUEENS",NULL,NULL,NULL,"1-, 2- and 3- Family Home","N/A","ADDRESS",NULL,"DOF","Personal Exemption Unit","DOF Property - Reduction Issue","Personal SCHE Exemption","See notes.","PHONE",NULL,NULL
38110823,"2018-01-05 13:28:06+00","2018-01-08 15:04:33+00","Closed","10 BROOKLYN",NULL,NULL,NULL,"Co-Op Unit","N/A","ADDRESS",NULL,"DOF","Condo or CoOp Unit","DOF Property - Reduction Issue","Condo or Co-op Abatement","See notes.","PHONE",NULL,NULL
38081059,"2018-01-01 15:29:49+00","2018-03-19 00:00:00+00","Closed","10 QUEENS","107-40 121 STREET, South Richmond Hill, NY 11419",NULL,NULL,NULL,"N/A","ADDRESS",NULL,"DOB","Department of Buildings","Plumbing","Plumbing Work - Illegal/No Permit/Standpipe/Sprinkler",NULL,"UNKNOWN",40.683794662467,-73.8209433862986
38075329,"2018-01-01 15:33:39+00","2018-02-08 10:10:08+00","Closed","15 BROOKLYN",NULL,NULL,NULL,"Property Address","N/A","ADDRESS",NULL,"DOF","Refunds and Adjustments","DOF Property - Payment Issue","Misapplied Payment","The Department of Finance resolved this issue.","PHONE",NULL,NULL
38090562,"2018-01-02 12:02:33+00","2018-01-03 08:47:23+00","Closed","07 BROOKLYN",NULL,NULL,NULL,"Property Address","N/A","ADDRESS",NULL,"DOF","Correspondence Unit","DOF Property - Request Copy","Copy of Account Information","The Department of Finance mailed the requested item.","PHONE",NULL,NULL
38104038,"2018-01-03 09:36:44+00","2018-06-05 00:00:00+00","Closed","01 BRONX","3075 THIRD AVENUE, BRONX, NY 10451",NULL,NULL,"Comercial","N/A","ADDRESS",NULL,"DSNY","Department of Sanitation","Graffiti","Graffiti","The City has removed the graffiti from this property.","UNKNOWN",40.8210200382257,-73.9124784151119
38095265,"2018-01-03 10:56:54+00","2018-05-16 00:00:00+00","Closed","04 MANHATTAN","854 10 AVENUE, NEW YORK, NY 10019",NULL,NULL,"Mixed Use","N/A","ADDRESS",NULL,"DSNY","Department of Sanitation","Graffiti","Graffiti","The City has removed the graffiti from this property.","UNKNOWN",40.7685899699503,-73.9889312301315
38098984,"2018-01-03 11:08:12+00","2018-03-26 00:00:00+00","Closed","11 BRONX","2138 WHITE PLAINS ROAD, BRONX, NY 10462",NULL,NULL,NULL,"N/A","ADDRESS",NULL,"DSNY","Department of Sanitation","Graffiti","Graffiti","The City has removed the graffiti from this property.","UNKNOWN",40.8543777659413,-73.8676974390207
38102959,"2018-01-03 12:10:21+00","2018-03-28 00:00:00+00","Closed","04 BRONX","1221 RIVER AVENUE, BRONX, NY 10452",NULL,NULL,"Residential","N/A","ADDRESS",NULL,"DSNY","Department of Sanitation","Graffiti","Graffiti","The City has removed the graffiti from this property.","UNKNOWN",40.8360865046511,-73.9210884221993
38098575,"2018-01-03 12:35:51+00","2018-01-05 09:04:51+00","Closed","13 BROOKLYN",NULL,NULL,NULL,"Property Address","N/A","ADDRESS",NULL,"DOF","Correspondence Unit","DOF Property - Request Copy","Copy of Account Information","The Department of Finance mailed the requested item.","PHONE",NULL,NULL
38066998,"2018-01-01 00:46:00+00","2018-01-05 00:00:00+00","Closed","12 BRONX","730 EAST  219 STREET, BRONX, NY 10467","WHITE PLAINS ROAD & BARNES AVENUE",NULL,"Sidewalk","N/A","ADDRESS",NULL,"DSNY","Department of Sanitation","Request Large Bulky Item Collection","Request Large Bulky Item Collection",NULL,"PHONE",40.8832368054633,-73.8617669813317
38073303,"2018-01-01 08:40:00+00","2018-01-04 00:00:00+00","Closed","08 BRONX","6120 RIVERDALE AVENUE, BRONX, NY 10471","WEST 261 STREET & WEST 263 STREET",NULL,"Sidewalk","N/A","ADDRESS",NULL,"DSNY","Department of Sanitation","Request Large Bulky Item Collection","Request Large Bulky Item Collection",NULL,"PHONE",40.9107009893814,-73.9030514784832
38080364,"2018-01-01 09:59:00+00","2018-01-03 00:00:00+00","Closed","17 BROOKLYN","1642 ALBANY AVENUE, BROOKLYN, NY 11210","GLENWOOD ROAD & LIRR BAY RIDGE LINE",NULL,"Sidewalk","N/A","ADDRESS",NULL,"DSNY","Department of Sanitation","Request Large Bulky Item Collection","Request Large Bulky Item Collection",NULL,"PHONE",40.633539110048,-73.9371589045062
38079103,"2018-01-01 14:16:00+00","2018-01-03 00:00:00+00","Closed","08 BROOKLYN","1212 LINCOLN PLACE, BROOKLYN, NY 11213","TROY AVENUE & SCHENECTADY AVENUE",NULL,"Sidewalk","N/A","ADDRESS",NULL,"DSNY","Department of Sanitation","Request Large Bulky Item Collection","Request Large Bulky Item Collection",NULL,"PHONE",40.6700056921307,-73.936061121521
